#,original,noisy,hamming,input delta
0,10,6.9,0,3.0999999999999996
1,9.9,11.7,100,-1.799999999999999
2,9.5,8.7,100,0.8000000000000007
3,8.9,10.8,100,-1.9000000000000004
4,8,6.8,5,1.2000000000000002
5,7,7.7,62,-0.7000000000000002
6,5.8,7.1,92,-1.2999999999999998
7,4.4,5.7,25,-1.2999999999999998
8,3,4.1,15,-1.0999999999999996
9,1.5,-0.8,0,2.3
10,0,3.3,0,-3.3
11,-1.5,-1.4,97,-0.10000000000000009
12,-2.9,-2.6,90,-0.2999999999999998
13,-4.2,-1.9,2,-2.3000000000000003
14,-5.3,-7.2,2,1.9000000000000004
15,-6.3,-7.8,95,1.5
16,-7.1,-4.6,0,-2.5
17,-7.7,-7.5,100,-0.20000000000000018
18,-8,-6.8,100,-1.2000000000000002
19,-8.2,-6.5,95,-1.6999999999999993
20,-8.1,-6.5,95,-1.5999999999999996
21,-7.8,-7.2,100,-0.5999999999999996
22,-7.3,-8.6,100,1.2999999999999998
23,-6.7,-4.5,0,-2.2
24,-5.9,-4.3,62,-1.6000000000000005
25,-5,-8.8,0,3.8000000000000007
26,-4,-2.8,27,-1.2000000000000002
27,-3,-2.7,85,-0.2999999999999998
28,-2,-3,42,1
29,-1,-4,2,3
30,0,-1.6,0,1.6
31,0.9,2.1,0,-1.2000000000000002
32,1.7,2.7,0,-1.0000000000000002
33,2.3,1.1,0,1.1999999999999997
34,2.8,2.4,42,0.3999999999999999
35,3.2,1.5,0,1.7000000000000002
36,3.4,1.8,0,1.5999999999999999
37,3.5,4.1,62,-0.5999999999999996
38,3.5,2.6,0,0.8999999999999999
39,3.3,3.8,50,-0.5
40,3.1,4.8,0,-1.6999999999999997
41,2.8,5.8,0,-3
42,2.4,1.5,0,0.8999999999999999
43,1.9,1.6,20,0.2999999999999998
44,1.5,6.1,0,-4.6
45,1.1,2.4,0,-1.2999999999999998
46,0.7,0.1,2,0.6
47,0.4,1.5,0,-1.1
48,0.2,0.7,12,-0.49999999999999994
49,0,0.4,15,-0.4
50,0,0.6,0,-0.6
51,0,1.1,0,-1.1
52,0.2,5.4,0,-5.2
53,0.4,5.6,0,-5.199999999999999
54,0.7,-1.3,2,2
55,1.1,0.5,10,0.6000000000000001
56,1.5,2,0,-0.5
57,1.9,-1.9,0,3.8
58,2.4,-1,0,3.4
59,2.8,3.1,32,-0.30000000000000027
60,3.1,2.9,42,0.20000000000000018
61,3.3,0.8,0,2.5
62,3.5,1.7,0,1.8
63,3.5,6.6,0,-3.0999999999999996
64,3.4,2.8,7,0.6000000000000001
65,3.2,6.3,0,-3.0999999999999996
66,2.8,3.7,2,-0.9000000000000004
67,2.3,4.8,0,-2.5
68,1.7,0.7,0,1
69,0.9,1.6,0,-0.7000000000000001
70,0,3.7,0,-3.7
71,-1,0.9,0,-1.9
72,-2,-2.3,82,0.2999999999999998
73,-3,-2.8,85,-0.20000000000000018
74,-4,-8,0,4
75,-5,-3.7,97,-1.2999999999999998
76,-5.9,-4.3,62,-1.6000000000000005
77,-6.7,-9.5,100,2.8
78,-7.3,-9,100,1.7000000000000002
79,-7.8,-9.2,100,1.3999999999999995
80,-8.1,-6,40,-2.0999999999999996
81,-8.2,-8.9,100,0.7000000000000011
82,-8,-8.8,100,0.8000000000000007
83,-7.7,-8.2,100,0.4999999999999991
84,-7.1,-6.7,100,-0.39999999999999947
85,-6.3,-4.8,5,-1.5
86,-5.3,-4.7,97,-0.5999999999999996
87,-4.2,-3,40,-1.2000000000000002
88,-2.9,0.5,0,-3.4
89,-1.5,-2.9,42,1.4
90,0,0.8,0,-0.8
91,1.5,0.9,0,0.6
92,3,1.9,0,1.1
93,4.4,7.9,2,-3.5
94,5.8,5.2,75,0.5999999999999996
95,7,6.7,95,0.2999999999999998
96,8,6,2,2
97,8.9,8.6,100,0.3000000000000007
98,9.5,9.1,100,0.40000000000000036
99,9.9,10.3,100,-0.40000000000000036
100,10,9,100,1
101,9.9,10.1,100,-0.1999999999999993
102,9.5,10.7,100,-1.1999999999999993
103,8.9,7.7,37,1.2000000000000002
104,8,8.9,95,-0.9000000000000004
105,7,8.1,5,-1.0999999999999996
106,5.8,7.6,65,-1.7999999999999998
107,4.4,2.9,7,1.5000000000000004
108,3,2,0,1
109,1.5,-0.1,0,1.6
110,0,0.5,0,-0.5
111,-1.5,-3.1,30,1.6
112,-2.9,-1.4,40,-1.5
113,-4.2,-3.9,97,-0.30000000000000027
114,-5.3,-4.7,97,-0.5999999999999996
115,-6.3,-5.1,5,-1.2000000000000002
116,-7.1,-6.4,95,-0.6999999999999993
117,-7.7,-9.2,100,1.4999999999999991
118,-8,-7.8,100,-0.20000000000000018
119,-8.2,-7.2,100,-0.9999999999999991
120,-8.1,-12.4,0,4.300000000000001
121,-7.8,-8.6,100,0.7999999999999998
122,-7.3,-5,0,-2.3
123,-6.7,-7.2,100,0.5
124,-5.9,-3.5,22,-2.4000000000000004
125,-5,-7.9,0,2.9000000000000004
126,-4,-6.4,2,2.4000000000000004
127,-3,-2.8,85,-0.20000000000000018
128,-2,-5.1,2,3.0999999999999996
129,-1,-0.6,37,-0.4
130,0,-3.8,0,3.8
131,0.9,1.1,45,-0.20000000000000007
132,1.7,-0.9,0,2.6
133,2.3,4.5,2,-2.2
134,2.8,2.2,12,0.5999999999999996
135,3.2,4.7,0,-1.5
136,3.4,2,0,1.4
137,3.5,1.4,0,2.1
138,3.5,5.3,0,-1.7999999999999998
139,3.3,3.8,50,-0.5
140,3.1,2.7,20,0.3999999999999999
141,2.8,3.7,2,-0.9000000000000004
142,2.4,1.7,0,0.7
143,1.9,4.1,0,-2.1999999999999997
144,1.5,0.3,0,1.2
145,1.1,0.1,0,1
146,0.7,-1.9,0,2.5999999999999996
147,0.4,0.6,60,-0.19999999999999996
148,0.2,-1.6,0,1.8
149,0,-0.4,47,0.4
150,0,-2.1,0,2.1
151,0,-0.5,27,0.5
152,0.2,0.7,12,-0.49999999999999994
153,0.4,0.6,60,-0.19999999999999996
154,0.7,-4.1,0,4.8
155,1.1,4.3,0,-3.1999999999999997
156,1.5,-0.5,0,2
157,1.9,0.9,0,0.9999999999999999
158,2.4,-0.5,0,2.9
159,2.8,1,0,1.7999999999999998
160,3.1,6.5,0,-3.4
161,3.3,4.4,12,-1.1000000000000005
162,3.5,-0.6,0,4.1
163,3.5,2.9,2,0.6000000000000001
164,3.4,6.2,0,-2.8000000000000003
165,3.2,4.9,0,-1.7000000000000002
166,2.8,2.1,5,0.6999999999999997
167,2.3,-1.8,0,4.1
168,1.7,2.2,5,-0.5000000000000002
169,0.9,-1.4,0,2.3
170,0,-0.1,95,0.1
171,-1,0.2,10,-1.2
172,-2,0.1,0,-2.1
173,-3,-4.8,40,1.7999999999999998
174,-4,-2.3,5,-1.7000000000000002
175,-5,-5.1,100,0.09999999999999964
176,-5.9,-9.2,37,3.299999999999999
177,-6.7,-7.9,100,1.2000000000000002
178,-7.3,-6.9,100,-0.39999999999999947
179,-7.8,-6.5,95,-1.2999999999999998
180,-8.1,-5,0,-3.0999999999999996
181,-8.2,-10.9,95,2.700000000000001
182,-8,-5.9,37,-2.0999999999999996
183,-7.7,-7.3,100,-0.40000000000000036
184,-7.1,-8.2,100,1.0999999999999996
185,-6.3,-2.6,0,-3.6999999999999997
186,-5.3,-4.8,97,-0.5
187,-4.2,-3.3,50,-0.9000000000000004
188,-2.9,-7.3,0,4.4
189,-1.5,-2.7,45,1.2000000000000002
190,0,0.2,35,-0.2
191,1.5,0.3,0,1.2
192,3,3.8,12,-0.7999999999999998
193,4.4,1.1,0,3.3000000000000003
194,5.8,6.9,92,-1.1000000000000005
195,7,8.8,0,-1.8000000000000007
196,8,8.8,95,-0.8000000000000007
197,8.9,10,100,-1.0999999999999996
198,9.5,8.8,100,0.6999999999999993
199,9.9,7.9,40,2
Average,35.385
