#,original,noisy,hamming,input delta
0,10,10,100,0
1,9.9,12.6,100,-2.6999999999999993
2,9.5,8.5,100,1
3,8.9,12.4,100,-3.5
4,8,10.4,95,-2.4000000000000004
5,7,7.7,62,-0.7000000000000002
6,5.8,3,0,2.8
7,4.4,0.9,0,3.5000000000000004
8,3,4.1,15,-1.0999999999999996
9,1.5,5.5,0,-4
10,0,4.4,0,-4.4
11,-1.5,-3.8,2,2.3
12,-2.9,-3.7,30,0.8000000000000003
13,-4.2,-1.1,2,-3.1
14,-5.3,0.3,0,-5.6
15,-6.3,-6.4,100,0.10000000000000053
16,-7.1,-13.4,0,6.300000000000001
17,-7.7,-12.6,0,4.8999999999999995
18,-8,-7.4,100,-0.5999999999999996
19,-8.2,-3.8,0,-4.3999999999999995
20,-8.1,-11.9,0,3.8000000000000007
21,-7.8,-9.8,100,2.000000000000001
22,-7.3,-11,90,3.7
23,-6.7,-12.9,0,6.2
24,-5.9,-3.5,22,-2.4000000000000004
25,-5,-9.9,0,4.9
26,-4,-2.5,20,-1.5
27,-3,-0.8,12,-2.2
28,-2,1.7,0,-3.7
29,-1,0.6,5,-1.6
30,0,-2.6,0,2.6
31,0.9,-1.7,0,2.6
32,1.7,3.2,0,-1.5000000000000002
33,2.3,3.5,0,-1.2000000000000002
34,2.8,6,0,-3.2
35,3.2,1.9,0,1.3000000000000003
36,3.4,5.5,0,-2.1
37,3.5,11.7,0,-8.2
38,3.5,8.8,0,-5.300000000000001
39,3.3,-1.5,0,4.8
40,3.1,4.8,0,-1.6999999999999997
41,2.8,0.7,0,2.0999999999999996
42,2.4,-1.9,0,4.3
43,1.9,5.9,0,-4
44,1.5,3.7,0,-2.2
45,1.1,3.4,0,-2.3
46,0.7,4.7,0,-4
47,0.4,1.8,0,-1.4
48,0.2,0.2,100,0
49,0,0,100,0
50,0,-0.1,95,0.1
51,0,2.2,0,-2.2
52,0.2,2.5,0,-2.3
53,0.4,5,0,-4.6
54,0.7,-0.9,5,1.6
55,1.1,3.8,0,-2.6999999999999997
56,1.5,-3.1,0,4.6
57,1.9,6.8,0,-4.9
58,2.4,2.9,35,-0.5
59,2.8,3.8,2,-1
60,3.1,6.2,0,-3.1
61,3.3,2.9,15,0.3999999999999999
62,3.5,4.9,7,-1.4000000000000004
63,3.5,10.5,0,-7
64,3.4,1.2,0,2.2
65,3.2,4,22,-0.7999999999999998
66,2.8,3.3,15,-0.5
67,2.3,3.3,0,-1
68,1.7,9.5,0,-7.8
69,0.9,-1.8,0,2.7
70,0,-5.8,0,5.8
71,-1,3.3,0,-4.3
72,-2,-1.9,100,-0.10000000000000009
73,-3,0.4,0,-3.4
74,-4,-3.9,100,-0.10000000000000009
75,-5,-6.7,0,1.7000000000000002
76,-5.9,-4.9,62,-1
77,-6.7,-6.3,95,-0.40000000000000036
78,-7.3,-2.9,0,-4.4
79,-7.8,-8.7,100,0.8999999999999995
80,-8.1,-4,0,-4.1
81,-8.2,-6.3,95,-1.8999999999999995
82,-8,-11,90,3
83,-7.7,-12,0,4.3
84,-7.1,-4.6,0,-2.5
85,-6.3,-7.9,95,1.6000000000000005
86,-5.3,-6.1,60,0.7999999999999998
87,-4.2,-7.8,0,3.5999999999999996
88,-2.9,-1.7,47,-1.2
89,-1.5,-0.9,72,-0.6
90,0,0.7,0,-0.7
91,1.5,4.2,0,-2.7
92,3,5.4,0,-2.4000000000000004
93,4.4,0.2,0,4.2
94,5.8,3,0,2.8
95,7,9.8,0,-2.8000000000000007
96,8,11.4,95,-3.4000000000000004
97,8.9,12,100,-3.0999999999999996
98,9.5,10.5,100,-1
99,9.9,7.2,0,2.7
100,10,10.8,100,-0.8000000000000007
101,9.9,12.3,100,-2.4000000000000004
102,9.5,11.1,100,-1.5999999999999996
103,8.9,9,100,-0.09999999999999964
104,8,4.6,0,3.4000000000000004
105,7,6,92,1
106,5.8,11.5,0,-5.7
107,4.4,4.2,90,0.20000000000000018
108,3,1.9,0,1.1
109,1.5,1.6,70,-0.10000000000000009
110,0,-0.2,85,0.2
111,-1.5,-2.5,52,1
112,-2.9,4.2,0,-7.1
113,-4.2,0.3,0,-4.5
114,-5.3,-3.3,47,-2
115,-6.3,-4.7,5,-1.5999999999999996
116,-7.1,-12.2,0,5.1
117,-7.7,-8.6,100,0.8999999999999995
118,-8,-10.1,100,2.0999999999999996
119,-8.2,-7.7,100,-0.4999999999999991
120,-8.1,-3.8,0,-4.3
121,-7.8,-11.2,65,3.3999999999999995
122,-7.3,-8.6,100,1.2999999999999998
123,-6.7,-9.3,100,2.6000000000000005
124,-5.9,-4,60,-1.9000000000000004
125,-5,-4.5,100,-0.5
126,-4,-7,0,3
127,-3,-2.6,77,-0.3999999999999999
128,-2,-4.7,2,2.7
129,-1,-1.4,90,0.3999999999999999
130,0,-1.6,0,1.6
131,0.9,1.8,0,-0.9
132,1.7,1.8,77,-0.10000000000000009
133,2.3,10.2,0,-7.8999999999999995
134,2.8,0.1,0,2.6999999999999997
135,3.2,0.4,0,2.8000000000000003
136,3.4,3.6,85,-0.20000000000000018
137,3.5,8.3,0,-4.800000000000001
138,3.5,-1.8,0,5.3
139,3.3,4.9,0,-1.6000000000000005
140,3.1,2.5,0,0.6000000000000001
141,2.8,-0.6,0,3.4
142,2.4,-1.1,0,3.5
143,1.9,3.7,0,-1.8000000000000003
144,1.5,-1.1,0,2.6
145,1.1,-0.4,2,1.5
146,0.7,1.7,0,-1
147,0.4,-0.5,30,0.9
148,0.2,1.4,0,-1.2
149,0,-1.9,0,1.9
150,0,-1.7,0,1.7
151,0,-0.6,7,0.6
152,0.2,4.7,0,-4.5
153,0.4,-3.9,0,4.3
154,0.7,-1.5,0,2.2
155,1.1,3.5,0,-2.4
156,1.5,3.3,0,-1.7999999999999998
157,1.9,1.6,20,0.2999999999999998
158,2.4,3.1,0,-0.7000000000000002
159,2.8,5.6,0,-2.8
160,3.1,5.9,0,-2.8000000000000003
161,3.3,6.1,0,-2.8
162,3.5,3.7,90,-0.20000000000000018
163,3.5,5.4,0,-1.9000000000000004
164,3.4,-0.4,0,3.8
165,3.2,4.1,20,-0.8999999999999995
166,2.8,-1.4,0,4.199999999999999
167,2.3,0.6,0,1.6999999999999997
168,1.7,1.9,45,-0.19999999999999996
169,0.9,3.3,0,-2.4
170,0,0.6,0,-0.6
171,-1,-3.2,15,2.2
172,-2,-7.2,0,5.2
173,-3,-3.9,42,0.8999999999999999
174,-4,-0.1,0,-3.9
175,-5,-6.1,57,1.0999999999999996
176,-5.9,-6.6,37,0.6999999999999993
177,-6.7,-1.5,0,-5.2
178,-7.3,-5.4,2,-1.8999999999999995
179,-7.8,-6.8,100,-1
180,-8.1,-8.7,100,0.5999999999999996
181,-8.2,-6.7,100,-1.4999999999999991
182,-8,-12.1,0,4.1
183,-7.7,-7.3,100,-0.40000000000000036
184,-7.1,-11,90,3.9000000000000004
185,-6.3,-9.3,95,3.000000000000001
186,-5.3,-5.5,100,0.20000000000000018
187,-4.2,-5.4,97,1.2000000000000002
188,-2.9,-5.5,25,2.6
189,-1.5,1.9,0,-3.4
190,0,-6.3,0,6.3
191,1.5,5.7,0,-4.2
192,3,5.6,0,-2.5999999999999996
193,4.4,4,72,0.40000000000000036
194,5.8,4.9,65,0.8999999999999995
195,7,7.8,60,-0.7999999999999998
196,8,12.3,95,-4.300000000000001
197,8.9,11.8,100,-2.9000000000000004
198,9.5,9.2,100,0.3000000000000007
199,9.9,6.4,0,3.5
Average,31.125
